0	-2.06866e-16
0.01	4.833e-06
0.02	1.93296e-05
0.03	4.34829e-05
0.04	7.72809e-05
0.05	0.000120707
0.06	0.000173741
0.07	0.000236356
0.08	0.000308522
0.09	0.000390203
0.1	0.000481361
0.11	0.00058195
0.12	0.000691921
0.13	0.00081122
0.14	0.00093979
0.15	0.00107757
0.16	0.00122448
0.17	0.00138047
0.18	0.00154545
0.19	0.00171933
0.2	0.00190205
0.21	0.0020935
0.22	0.00229358
0.23	0.00250222
0.24	0.00271929
0.25	0.00294469
0.26	0.00317832
0.27	0.00342005
0.28	0.00366977
0.29	0.00392735
0.3	0.00419267
0.31	0.00446559
0.32	0.00474597
0.33	0.00503368
0.34	0.00532858
0.35	0.00563051
0.36	0.00593932
0.37	0.00625486
0.38	0.00657697
0.39	0.00690548
0.4	0.00724024
0.41	0.00758107
0.42	0.00792779
0.43	0.00828024
0.44	0.00863823
0.45	0.00900158
0.46	0.0093701
0.47	0.0097436
0.48	0.0101219
0.49	0.0105048
0.5	0.0108921
0.51	0.0112836
0.52	0.011679
0.53	0.0120783
0.54	0.0124811
0.55	0.0128873
0.56	0.0132966
0.57	0.0137089
0.58	0.0141239
0.59	0.0145414
0.6	0.0149611
0.61	0.0153829
0.62	0.0158065
0.63	0.0162317
0.64	0.0166582
0.65	0.0170859
0.66	0.0175144
0.67	0.0179436
0.68	0.0183732
0.69	0.0188029
0.7	0.0192326
0.71	0.019662
0.72	0.0200908
0.73	0.0205188
0.74	0.0209458
0.75	0.0213715
0.76	0.0217956
0.77	0.022218
0.78	0.0226383
0.79	0.0230563
0.8	0.0234718
0.81	0.0238845
0.82	0.0242942
0.83	0.0247006
0.84	0.0251035
0.85	0.0255026
0.86	0.0258977
0.87	0.0262884
0.88	0.0266747
0.89	0.0270562
0.9	0.0274326
0.91	0.0278038
0.92	0.0281695
0.93	0.0285293
0.94	0.0288832
0.95	0.0292309
0.96	0.029572
0.97	0.0299064
0.98	0.0302339
0.99	0.0305541
1	0.0308669
1.01	0.0311719
1.02	0.0314691
1.03	0.0317581
1.04	0.0320388
1.05	0.0323108
1.06	0.032574
1.07	0.0328282
1.08	0.0330731
1.09	0.0333085
1.1	0.0335341
1.11	0.0337499
1.12	0.0339555
1.13	0.0341508
1.14	0.0343356
1.15	0.0345096
1.16	0.0346727
1.17	0.0348246
1.18	0.0349652
1.19	0.0350943
1.2	0.0352117
1.21	0.0353172
1.22	0.0354106
1.23	0.0354918
1.24	0.0355606
1.25	0.0356168
1.26	0.0356603
1.27	0.0356909
1.28	0.0357085
1.29	0.0357128
1.3	0.0357038
1.31	0.0356814
1.32	0.0356453
